service,course_id,user_id,task,subtask,author,comment_length
Abgabe,15,a1001026,3,15,someone003,1007
Abgabe,15,a1001026,4,1,someone003,540
Abgabe,15,a1001026,5,4,someone003,590
Abgabe,15,a1001026,6,1,someone003,406
Abgabe,15,a1001026,7,2,someone003,462
Abgabe,15,a1001026,8,3,someone003,406
Abgabe,15,a1001026,9,6,someone003,561
Abgabe,15,a1001026,10,1,someone003,406
Abgabe,15,a1001026,11,1,someone003,406
Abgabe,15,a1046996,1,1,someone003,412
Abgabe,15,a1046996,1,6,someone003,523
Abgabe,15,a1046996,2,2,someone003,406
Abgabe,15,a1046996,3,2,someone003,406
Abgabe,15,a1046996,4,2,someone003,507
Abgabe,15,a1046996,5,5,someone003,532
Abgabe,15,a1046996,6,2,someone003,412
Abgabe,15,a1046996,7,6,someone003,406
Abgabe,15,a1046996,8,1,someone003,406
Abgabe,15,a1046996,9,1,someone003,412
Abgabe,15,a1046996,10,5,someone003,608
Abgabe,15,a1046996,11,14,someone003,475
Abgabe,15,a1006112,1,1,someone003,412
Abgabe,15,a1006112,1,2,someone003,412
Abgabe,15,a1006112,2,2,someone003,613
Abgabe,15,a1006112,2,3,someone003,642
Abgabe,15,a1006112,3,3,someone003,627
Abgabe,15,a1006112,4,1,someone003,684
Abgabe,15,a1006112,5,4,someone003,406
Abgabe,15,a1006112,6,3,someone003,412
Abgabe,15,a1006112,7,9,someone003,491
Abgabe,15,a1006112,9,11,someone003,418
Abgabe,15,a1006112,12,6,someone003,674
Abgabe,15,a1000623,1,1,someone003,412
Abgabe,15,a1000623,1,3,someone003,499
Abgabe,15,a1000623,1,2,someone003,449
Abgabe,15,a1000623,2,2,someone003,406
Abgabe,15,a1000623,2,3,someone003,561
Abgabe,15,a1000623,2,12,someone003,560
Abgabe,15,a1000623,2,13,someone003,412
Abgabe,15,a1000623,3,2,someone003,412
Abgabe,15,a1000623,4,1,someone003,412
Abgabe,15,a1000623,5,4,someone003,670
Abgabe,15,a1000623,6,1,someone003,412
Abgabe,15,a1000623,7,6,someone003,564
Abgabe,15,a1000623,9,1,someone003,412
Abgabe,15,a1000623,8,3,someone003,576
Abgabe,15,a1000623,10,6,someone003,547
Abgabe,15,a1000623,11,5,someone003,685
Abgabe,15,a0604900,1,1,someone003,412
Abgabe,15,a0604900,1,2,someone003,412
Abgabe,15,a0604900,2,1,someone003,406
Abgabe,15,a0604900,2,3,someone003,406
Abgabe,15,a0604900,3,2,someone003,412
Abgabe,15,a0604900,4,8,someone003,563
