service,course_id,user,nid,id,subject_length,text_length
Forum,99,a0808547,656,218,9,99
Forum,99,person002,656,230,9,369
Forum,99,a0808547,656,233,9,1057
Forum,99,person002,656,234,9,67
Forum,99,a0906419,656,212,9,760
Forum,99,person002,656,213,9,240
Forum,99,a0906419,656,216,9,519
Forum,99,a0903622,656,220,9,230
Forum,99,a0906419,656,221,9,0
Forum,99,person002,656,259,9,63
Forum,99,a0903622,656,260,9,933
Forum,99,a0647160,656,294,9,287
Forum,99,person002,656,295,9,121
Forum,99,person002,656,296,9,0
Forum,99,person005,656,297,9,0
Forum,99,a0647160,656,298,9,400
Forum,99,a0647160,656,299,9,137
Forum,99,person002,656,300,9,813
Forum,99,a0902776,656,219,0,856
Forum,99,a0902776,656,225,0,108
Forum,99,a0902776,656,238,0,595
Forum,99,person005,656,241,0,1212
Forum,99,a0902776,656,245,0,441
Forum,99,a0525137,656,246,0,296
Forum,99,a0902776,656,247,0,368
Forum,99,person005,656,249,0,226
Forum,99,a0902776,656,250,0,261
Forum,99,person005,656,254,0,321
Forum,99,a0647160,656,301,37,474
Forum,99,a0647160,656,302,37,61
Forum,99,a0903622,656,303,37,455
Forum,99,a0903622,656,304,0,0
Forum,99,a0647160,656,305,37,726
Forum,99,a0647160,656,306,37,344
Forum,99,person002,656,307,37,228
Forum,99,a0903622,656,309,19,313
Forum,99,person002,656,320,19,40
Forum,99,person005,656,329,37,1414
Forum,99,person002,656,332,37,489
Forum,99,a0500549,656,222,14,427
Forum,99,a0808547,656,223,14,345
Forum,99,a0500549,656,226,14,1858
Forum,99,person002,656,229,14,670
Forum,99,a0500549,656,231,14,1084
Forum,99,a0500549,656,242,14,223
Forum,99,person002,656,243,14,495
Forum,99,person005,656,248,14,522
Forum,99,a0525137,656,227,14,504
Forum,99,a0647160,656,404,14,397
Forum,99,a0648931,656,224,0,664
Forum,99,a0648931,656,228,0,0
Forum,99,a0707489,656,232,0,108
Forum,99,a0648931,656,235,0,177
Forum,99,a0648931,656,236,39,686
Forum,99,person005,656,237,39,1366
Forum,99,a0648931,656,239,39,584
Forum,99,person005,656,240,39,366
Forum,99,a0648931,656,244,39,132
Forum,99,a0906419,656,251,13,1197
Forum,99,person002,656,252,13,316
Forum,99,a0647160,656,255,13,254
Forum,99,a0647160,656,256,13,31
Forum,99,person005,656,257,13,290
Forum,99,a0647160,656,258,13,119
Forum,99,a0547047,656,261,10,328
Forum,99,person002,656,262,10,294
Forum,99,a0902776,656,263,16,731
Forum,99,a0903622,656,265,16,975
Forum,99,a0902776,656,271,16,281
Forum,99,a0525137,656,272,16,706
Forum,99,a0902776,656,287,16,322
Forum,99,a0906419,656,264,0,0
Forum,99,person002,656,266,0,357
Forum,99,person005,656,273,0,615
Forum,99,a0547047,656,267,0,0
Forum,99,person002,656,269,0,68
Forum,99,a0808547,656,268,0,1353
Forum,99,person005,656,270,0,117
Forum,99,a0808547,656,308,0,129
Forum,99,a0525137,656,274,37,926
Forum,99,person002,656,275,37,863
Forum,99,a0647160,656,276,37,192
Forum,99,a0525137,656,278,37,614
Forum,99,person002,656,291,37,317
Forum,99,a0727938,656,277,41,140
Forum,99,a0727938,656,279,41,0
Forum,99,person005,656,280,41,0
Forum,99,a0647160,656,281,15,1100
Forum,99,a0647160,656,282,15,60
Forum,99,a0903622,656,283,15,197
Forum,99,a0647160,656,284,15,220
Forum,99,a0903622,656,285,15,237
Forum,99,a0647160,656,286,15,66
Forum,99,a0903622,656,288,15,418
Forum,99,a0647160,656,289,15,420
Forum,99,a0907112,656,292,15,305
Forum,99,a0525137,656,290,15,464
Forum,99,a0903622,656,293,15,338
Forum,99,a0647160,656,310,19,380
Forum,99,a0902776,656,311,19,317
Forum,99,a0903622,656,312,19,930
Forum,99,a0647160,656,313,19,313
Forum,99,a0906419,656,314,13,859
Forum,99,a0906419,656,315,13,0
Forum,99,person002,656,318,13,348
Forum,99,a0525137,656,319,13,1069
Forum,99,a0903622,656,316,13,130
Forum,99,a0903622,656,317,13,75
Forum,99,a0906419,656,321,13,0
Forum,99,a0903622,656,322,13,1893
Forum,99,a0906419,656,325,13,0
Forum,99,person005,656,326,13,327
Forum,99,a0647160,656,327,13,312
Forum,99,a0906419,656,330,13,347
Forum,99,a0906419,656,331,13,172
Forum,99,person002,656,333,13,384
Forum,99,a0903622,656,334,13,480
Forum,99,a0906419,656,335,13,1515
Forum,99,person005,656,340,13,643
Forum,99,a0127319,656,323,21,190
Forum,99,a0903622,656,324,21,392
Forum,99,a0127319,656,328,21,511
Forum,99,a0949607,656,336,19,541
Forum,99,a0903622,656,337,19,414
Forum,99,a0647160,656,338,19,785
Forum,99,a0949607,656,339,19,114
Forum,99,a0906419,656,341,0,0
Forum,99,person002,656,342,0,360
Forum,99,a0949607,656,343,0,261
Forum,99,person005,656,344,0,172
Forum,99,a0949607,656,347,0,0
Forum,99,a0647160,656,345,22,508
Forum,99,person005,656,346,22,237
Forum,99,a0647160,656,348,45,225
Forum,99,a0647160,656,349,19,632
Forum,99,a0647160,656,350,19,124
Forum,99,a0647160,656,351,19,198
Forum,99,a0647160,656,352,19,136
Forum,99,a9826273,656,353,19,116
Forum,99,person005,656,355,19,138
Forum,99,a0647160,656,356,36,209
Forum,99,a0647160,656,357,36,133
Forum,99,person005,656,358,36,219
Forum,99,a0647160,656,359,36,249
Forum,99,a0647160,656,360,36,320
Forum,99,person005,656,361,36,545
Forum,99,a0647160,656,366,36,852
Forum,99,person002,656,354,19,399
Forum,99,a0707489,656,362,21,262
Forum,99,person005,656,363,21,639
Forum,99,a0707489,656,365,21,64
Forum,99,a0707935,656,364,24,1003
Forum,99,a0647160,656,367,24,118
Forum,99,person002,656,368,24,1789
Forum,99,person002,656,369,24,0
Forum,99,a0707935,656,370,24,1347
Forum,99,a0647160,656,371,24,321
Forum,99,person005,656,372,24,297
Forum,99,person005,656,373,24,59
Forum,99,person002,656,375,24,45
Forum,99,person002,656,374,24,1211
Forum,99,a0707935,656,386,24,87
Forum,99,a9826273,656,376,0,189
Forum,99,a0647160,656,377,0,72
Forum,99,a0647160,656,381,0,81
Forum,99,a9826273,656,395,0,58
Forum,99,person002,656,378,0,205
Forum,99,person005,656,379,0,65
Forum,99,a9826273,656,380,0,123
Forum,99,a0906419,656,382,0,1256
Forum,99,person002,656,383,0,117
Forum,99,a0906419,656,385,0,184
Forum,99,a0906419,656,384,0,230
Forum,99,person002,656,387,0,90
Forum,99,a0906419,656,388,0,661
Forum,99,person002,656,390,0,149
Forum,99,a0903622,656,389,0,704
Forum,99,a0906419,656,392,0,1348
Forum,99,person002,656,397,0,645
Forum,99,a0906419,656,416,0,0
Forum,99,person002,656,423,0,499
Forum,99,person002,656,424,0,186
Forum,99,a0906419,656,425,0,1034
Forum,99,person002,656,431,0,381
Forum,99,person002,656,434,0,353
Forum,99,a0906419,656,448,0,0
Forum,99,a0808547,656,391,20,1186
Forum,99,a0647160,656,393,20,690
Forum,99,a0903622,656,394,20,449
Forum,99,a0808547,656,396,20,160
Forum,99,a0707935,656,398,0,1524
Forum,99,person002,656,399,0,82
Forum,99,a0707935,656,426,0,441
Forum,99,person002,656,433,0,818
Forum,99,a0707935,656,452,0,34
Forum,99,a0949607,656,400,7,718
Forum,99,person002,656,401,7,578
Forum,99,a0949607,656,402,7,615
Forum,99,person002,656,403,7,366
Forum,99,a0949607,656,406,7,235
Forum,99,person002,656,407,7,178
Forum,99,a0949607,656,410,7,157
Forum,99,a0949607,656,411,7,101
Forum,99,a0949607,656,412,7,101
Forum,99,person002,656,413,7,328
Forum,99,a0949607,656,414,7,225
Forum,99,person002,656,422,7,615
Forum,99,a0949607,656,427,7,147
Forum,99,a0947209,656,405,27,344
Forum,99,a0902776,656,408,27,401
Forum,99,a0947209,656,409,27,91
Forum,99,a0127319,656,415,25,67
Forum,99,a0647160,656,417,25,139
Forum,99,a9601577,656,418,25,38
Forum,99,a0127319,656,419,25,449
Forum,99,a0647160,656,420,25,415
Forum,99,a0127319,656,421,25,50
Forum,99,a0808547,656,428,35,0
Forum,99,a0808547,656,429,35,959
Forum,99,person005,656,430,35,197
Forum,99,a0808547,656,432,35,277
Forum,99,a0808547,656,436,35,173
Forum,99,a0647160,656,435,18,347
Forum,99,person005,656,439,18,350
Forum,99,a0647160,656,442,18,633
Forum,99,a0647160,656,443,18,162
Forum,99,a0647160,656,444,18,162
Forum,99,person005,656,447,18,437
Forum,99,a0647160,656,459,18,181
Forum,99,person002,656,463,18,116
Forum,99,a0647160,656,466,18,244
Forum,99,person005,656,467,18,153
Forum,99,a0647160,656,468,18,325
Forum,99,a0647160,656,469,18,279
Forum,99,a0647160,656,581,18,948
Forum,99,a0808547,656,437,26,211
Forum,99,person002,656,438,26,59
Forum,99,a0808547,656,440,26,128
Forum,99,person005,656,445,26,224
Forum,99,a0808547,656,446,26,433
Forum,99,person005,656,449,26,724
Forum,99,a0647160,656,450,26,239
Forum,99,a0808547,656,451,26,326
Forum,99,a0647160,656,441,26,202
Forum,99,a0808547,656,456,26,357
Forum,99,person005,656,457,26,0
Forum,99,a0808547,656,464,26,65
Forum,99,a0808547,656,471,26,57
Forum,99,person002,656,472,26,1208
Forum,99,a0808547,656,475,26,261
Forum,99,a0808547,656,476,26,353
Forum,99,a0808547,656,487,26,1137
Forum,99,person002,656,489,26,553
Forum,99,a0808547,656,490,26,171
Forum,99,a0808547,656,493,26,526
Forum,99,person002,656,495,26,405
Forum,99,a0808547,656,504,26,166
Forum,99,a0647160,656,511,26,79
Forum,99,person005,656,512,26,437
Forum,99,a0701275,656,517,26,233
Forum,99,a0808547,656,533,26,210
Forum,99,a0701275,656,542,26,337
Forum,99,person002,656,543,26,432
Forum,99,a0701275,656,546,26,88
Forum,99,a0808547,656,544,26,264
Forum,99,a0628166,656,453,39,0
Forum,99,a0628166,656,454,39,369
Forum,99,person002,656,455,39,360
Forum,99,a0900078,656,458,37,358
Forum,99,person002,656,462,37,336
Forum,99,person005,656,470,37,483
Forum,99,a0906419,656,460,24,303
Forum,99,a0647160,656,461,24,126
Forum,99,person002,656,465,24,328
Forum,99,a0701275,656,473,0,1418
Forum,99,a0907112,656,474,0,197
Forum,99,a0701275,656,477,0,930
Forum,99,a0808547,656,478,0,142
Forum,99,a0701275,656,479,0,100
Forum,99,a0701275,656,480,0,119
Forum,99,person002,656,482,0,77
Forum,99,person002,656,481,0,259
Forum,99,a0701275,656,484,0,20
Forum,99,a0701275,656,483,27,502
Forum,99,person002,656,485,27,192
Forum,99,a0701275,656,486,27,435
Forum,99,person002,656,488,27,375
Forum,99,a0701275,656,491,27,192
Forum,99,a0907112,656,492,27,0
Forum,99,a0701275,656,496,27,150
Forum,99,a0701275,656,498,27,1291
Forum,99,person005,656,502,27,711
Forum,99,a0701275,656,505,27,64
Forum,99,person002,656,503,27,808
Forum,99,person002,656,506,27,376
Forum,99,a0701275,656,508,27,214
Forum,99,a0701275,656,509,27,359
Forum,99,person002,656,510,27,199
Forum,99,a0701275,656,513,27,148
Forum,99,person002,656,514,27,81
Forum,99,a0701275,656,515,27,16
Forum,99,person002,656,520,27,260
Forum,99,a0701275,656,522,27,188
Forum,99,person002,656,516,27,218
Forum,99,a0701275,656,518,27,35
Forum,99,person005,656,519,27,476
Forum,99,a0701275,656,521,27,430
Forum,99,person002,656,523,27,66
Forum,99,person005,656,524,27,383
Forum,99,person002,656,525,27,648
Forum,99,a0701275,656,527,27,962
Forum,99,person002,656,528,27,117
Forum,99,a0701275,656,529,27,571
Forum,99,a0701275,656,530,27,289
Forum,99,person002,656,531,27,87
Forum,99,a0701275,656,532,27,42
Forum,99,person002,656,526,27,247
Forum,99,a0701275,656,507,27,147
Forum,99,person002,656,494,27,77
Forum,99,a0908233,656,497,0,527
Forum,99,person005,656,499,0,144
Forum,99,person002,656,500,0,263
Forum,99,a0908233,656,501,0,80
Forum,99,a0908233,656,534,20,378
Forum,99,a0647160,656,535,20,429
Forum,99,person002,656,536,20,427
Forum,99,a0908233,656,594,20,858
Forum,99,a0908233,656,616,20,0
Forum,99,a0647160,656,537,30,40
Forum,99,person002,656,538,30,213
Forum,99,a0808420,656,539,29,588
Forum,99,a0647160,656,540,29,114
Forum,99,person002,656,541,29,683
Forum,99,a0808420,656,545,29,178
Forum,99,person002,656,561,29,236
Forum,99,a0901130,656,547,14,855
Forum,99,a0647160,656,548,14,236
Forum,99,a0647160,656,549,14,456
Forum,99,person002,656,562,14,27
Forum,99,a0901130,656,579,14,586
Forum,99,person002,656,580,14,296
Forum,99,a0901130,656,582,14,293
Forum,99,person002,656,585,14,961
Forum,99,a0606549,656,550,31,544
Forum,99,person002,656,559,31,928
Forum,99,a0606549,656,600,31,30
Forum,99,a0949607,656,551,0,926
Forum,99,a0647160,656,552,0,190
Forum,99,a0949607,656,553,0,1754
Forum,99,a0949607,656,557,0,87
Forum,99,a0949607,656,554,0,206
Forum,99,a0949607,656,555,0,137
Forum,99,person002,656,560,0,615
Forum,99,a0949607,656,564,0,0
Forum,99,a0949607,656,565,0,814
Forum,99,person002,656,572,0,931
Forum,99,a0902776,656,556,35,1045
Forum,99,person002,656,558,35,50
Forum,99,a0902776,656,563,35,423
Forum,99,person002,656,571,35,524
Forum,99,a0902776,656,573,35,305
Forum,99,person002,656,578,35,333
Forum,99,a0902776,656,583,35,98
Forum,99,person002,656,584,35,401
Forum,99,a0902776,656,617,35,233
Forum,99,person002,656,630,35,281
Forum,99,a0647160,656,632,35,93
Forum,99,person002,656,633,35,88
Forum,99,a0647160,656,634,35,276
Forum,99,a0908233,656,566,0,0
Forum,99,person005,656,567,0,0
Forum,99,a0903622,656,568,0,112
Forum,99,person005,656,569,0,0
Forum,99,a0903622,656,570,0,9
Forum,99,a0647160,656,574,16,84
Forum,99,a0902776,656,575,16,115
Forum,99,a0647160,656,576,16,149
Forum,99,person002,656,577,16,105
Forum,99,a0411651,656,586,38,596
Forum,99,person002,656,587,38,121
Forum,99,a0411651,656,588,38,0
Forum,99,a0348292,656,589,15,1800
Forum,99,a0903622,656,590,15,210
Forum,99,a0949607,656,591,26,325
Forum,99,a0903622,656,592,26,238
Forum,99,a0903622,656,593,26,55
Forum,99,a0949607,656,595,26,487
Forum,99,person002,656,596,26,217
Forum,99,a0949607,656,597,26,27
Forum,99,a0647160,656,598,40,219
Forum,99,person002,656,599,40,149
Forum,99,a0647160,656,601,40,248
Forum,99,a0647160,656,610,40,294
Forum,99,a0647160,656,619,40,1327
Forum,99,a0647160,656,620,40,46
Forum,99,person002,656,635,40,1042
Forum,99,a0647160,656,636,40,1420
Forum,99,person002,656,637,40,245
Forum,99,a0703936,656,602,0,775
Forum,99,a0647160,656,603,0,584
Forum,99,a0647160,656,604,0,159
Forum,99,person002,656,605,0,297
Forum,99,a0703936,656,606,0,487
Forum,99,a0647160,656,607,0,47
Forum,99,a0647160,656,608,0,72
Forum,99,a0647160,656,609,0,361
Forum,99,person002,656,611,0,344
Forum,99,a0703936,656,642,0,104
Forum,99,person002,656,643,0,376
Forum,99,a0606549,656,612,0,307
Forum,99,person002,656,613,0,448
Forum,99,a0606549,656,614,0,98
Forum,99,a0647160,656,615,0,82
Forum,99,a0707935,656,618,39,1078
Forum,99,a0903622,656,621,39,874
Forum,99,a0902776,656,624,39,78
Forum,99,a0903622,656,626,39,6
Forum,99,person002,656,631,39,548
Forum,99,person005,656,638,39,272
Forum,99,a0707935,656,641,39,12
Forum,99,a0606549,656,622,0,259
Forum,99,a0647160,656,623,0,332
Forum,99,a0606549,656,625,0,163
Forum,99,a0606549,656,627,0,658
Forum,99,a0903622,656,628,0,383
Forum,99,a0647160,656,629,0,548
Forum,99,a0606549,656,639,0,460
Forum,99,a0647160,656,640,0,673
Forum,99,a0848375,656,644,44,527
Forum,99,a0647160,656,645,44,188
Forum,99,a0947423,656,646,23,598
Forum,99,a0752758,656,647,23,0
Forum,99,a0647160,656,649,23,64
Forum,99,a0647160,656,648,23,236
Forum,99,a0752758,656,650,23,0
Forum,99,a0947423,656,651,23,27
Forum,99,a0647160,656,652,23,107
Forum,99,a0752758,656,653,23,105
Forum,99,a0947423,656,654,23,247
Forum,99,a0903622,656,655,23,16
Forum,99,a0947423,656,656,23,8
Forum,99,a0907112,201,1,0,597
Forum,99,person002,201,2,0,2100
Forum,99,a0907112,201,3,0,577
Forum,99,person002,201,4,0,382
Forum,99,person005,201,5,0,0
Forum,99,a0907112,201,6,0,0
Forum,99,a0701571,201,7,18,1167
Forum,99,person002,201,8,18,1347
Forum,99,a0701571,201,9,18,92
Forum,99,a0707489,201,10,37,564
Forum,99,person002,201,11,37,1168
Forum,99,a0707489,201,12,37,38
Forum,99,a0949607,201,13,0,1060
Forum,99,a0949607,201,14,0,396
Forum,99,a0903622,201,15,0,377
Forum,99,a0949607,201,16,0,416
Forum,99,a0907112,201,17,0,429
Forum,99,a0949607,201,18,0,113
Forum,99,a0808547,201,19,17,627
Forum,99,a0808547,201,20,17,284
Forum,99,a0808547,201,21,17,62
Forum,99,a0903622,201,22,45,1142
Forum,99,person002,201,23,45,1589
Forum,99,a0903622,201,25,45,322
Forum,99,a0903622,201,26,45,51
Forum,99,a0907112,201,27,45,37
Forum,99,person002,201,29,45,305
Forum,99,a0903622,201,30,45,234
Forum,99,person002,201,31,45,127
Forum,99,person002,201,32,45,269
Forum,99,a0903622,201,33,45,324
Forum,99,person002,201,45,45,397
Forum,99,a0647160,201,194,45,315
Forum,99,a0647160,201,195,45,96
Forum,99,a0903622,201,47,45,198
Forum,99,a0903622,201,48,45,9
Forum,99,person002,201,54,45,62
Forum,99,a0127319,201,24,25,213
Forum,99,person002,201,28,25,310
Forum,99,a0127319,201,41,25,402
Forum,99,person002,201,44,25,137
Forum,99,a0127319,201,49,25,442
Forum,99,a0902776,201,50,25,427
Forum,99,a0127319,201,51,25,597
Forum,99,a0902776,201,52,25,140
Forum,99,person002,201,53,25,125
Forum,99,a0127319,201,57,25,136
Forum,99,person002,201,62,25,373
Forum,99,a0500549,201,34,20,274
Forum,99,a0500549,201,36,20,1892
Forum,99,a0903622,201,37,20,898
Forum,99,a0500549,201,40,20,250
Forum,99,a0647160,201,38,20,691
Forum,99,a0500549,201,39,20,576
Forum,99,person002,201,43,20,2070
Forum,99,a0647160,201,35,30,188
